nameOri,nameNon,labelOri,labelSeg
AP&M.RM-3141.OCLG-STPT,AP&M.RM-0000.OCLG-STPT,biiiobiiiiiiobiiiiiiii,"[(0, 4), (5, 12), (13, 22)]"
AP&M.AHU1-RVFD.MAX-FREQ,AP&M.AHU0-RVFD.MAX-FREQ,biiiobiiiobiiiiiiiiiiii,"[(0, 4), (5, 9), (10, 23)]"
AP&M.RM-3302C.OCC-CMD,AP&M.RM-0000C.OCC-CMD,biiiobiiiiiiiobiiiiii,"[(0, 4), (5, 13), (14, 21)]"
AP&M.RM-B004.WC-ADJ,AP&M.RM-B000.WC-ADJ,biiiobiiiiiiobiiiii,"[(0, 4), (5, 12), (13, 19)]"
AP&M.RM-4432.AHTG-STPT,AP&M.RM-0000.AHTG-STPT,biiiobiiiiiiobiiiiiiii,"[(0, 4), (5, 12), (13, 22)]"
RM-5444.OCC-CMD,RM-0000.OCC-CMD,biiiiiiobiiiiii,"[(0, 7), (8, 15)]"
UNCHMAX,UNCHMAX,biiiiii,"[(0, 7)]"
AP&M.RM-4731A.OHTG-STPT,AP&M.RM-0000A.OHTG-STPT,biiiobiiiiiiiobiiiiiiii,"[(0, 4), (5, 13), (14, 23)]"
AP&M.RM-5161.DMPR-CMD,AP&M.RM-0000.DMPR-CMD,biiiobiiiiiiobiiiiiii,"[(0, 4), (5, 12), (13, 21)]"
AP&M.RM-2113.SUP-FLOW,AP&M.RM-0000.SUP-FLOW,biiiobiiiiiiobiiiiiii,"[(0, 4), (5, 12), (13, 21)]"
AP&M.EF-29.EF29-STS,AP&M.EF-00.EF00-STS,biiiobiiiiobiiiiiii,"[(0, 4), (5, 10), (11, 19)]"
AP&M ZONE UNOCC LOAD SHED COMMAND,AP&M ZONE UNOCC LOAD SHED COMMAND,biiiobiiiiiiiiiiiiiiiiiiiiiiiiiii,"[(0, 4), (5, 33)]"
AP&M.RM-4856.SA-VP,AP&M.RM-0000.SA-VP,biiiobiiiiiiobiiii,"[(0, 4), (5, 12), (13, 18)]"
AP&M.RM-B349B.CMAX-STPT,AP&M.RM-B000B.CMAX-STPT,biiiobiiiiiiiobiiiiiiii,"[(0, 4), (5, 13), (14, 23)]"
AP&M.RM-1313.OCLG-STPT,AP&M.RM-0000.OCLG-STPT,biiiobiiiiiiobiiiiiiii,"[(0, 4), (5, 12), (13, 22)]"
AP&M.RM-2101.HTG-VLV,AP&M.RM-0000.HTG-VLV,biiiobiiiiiiobiiiiii,"[(0, 4), (5, 12), (13, 20)]"
AP&M.RM-3452.CMAX-STPT,AP&M.RM-0000.CMAX-STPT,biiiobiiiiiiobiiiiiiii,"[(0, 4), (5, 12), (13, 22)]"
AP&M.RM-B325B.SUP-FLOW,AP&M.RM-B000B.SUP-FLOW,biiiobiiiiiiiobiiiiiii,"[(0, 4), (5, 13), (14, 22)]"
AP&M.RM-3711.DMPR-POS,AP&M.RM-0000.DMPR-POS,biiiobiiiiiiobiiiiiii,"[(0, 4), (5, 12), (13, 21)]"
AP&M.RM-6202.OCMIN-STPT,AP&M.RM-0000.OCMIN-STPT,biiiobiiiiiiobiiiiiiiii,"[(0, 4), (5, 12), (13, 23)]"
AP&M.EF8-VFD.FREQ,AP&M.EF0-VFD.FREQ,biiiobiiobiiiiiii,"[(0, 4), (5, 8), (9, 17)]"
AP&M.RM-4711.AHTG-STPT,AP&M.RM-0000.AHTG-STPT,biiiobiiiiiiobiiiiiiii,"[(0, 4), (5, 12), (13, 22)]"
AP&M.RM-1311.CMAX-STPT,AP&M.RM-0000.CMAX-STPT,biiiobiiiiiiobiiiiiiii,"[(0, 4), (5, 12), (13, 22)]"
RM-5420.OCC-CMD,RM-0000.OCC-CMD,biiiiiiobiiiiii,"[(0, 7), (8, 15)]"
AP&M.AHU2-LVFD.LAST-FLT,AP&M.AHU0-LVFD.LAST-FLT,biiiobiiiobiiiiiiiiiiii,"[(0, 4), (5, 9), (10, 23)]"
AP&M.RM-5018.CMAX-STPT,AP&M.RM-0000.CMAX-STPT,biiiobiiiiiiobiiiiiiii,"[(0, 4), (5, 12), (13, 22)]"
AP&M.RM-B301B.OHTG-STPT,AP&M.RM-B000B.OHTG-STPT,biiiobiiiiiiiobiiiiiiii,"[(0, 4), (5, 13), (14, 23)]"
AP&M.RM-4721.OHTG-STPT,AP&M.RM-0000.OHTG-STPT,biiiobiiiiiiobiiiiiiii,"[(0, 4), (5, 12), (13, 22)]"
AP&M.AHU3-LVFD.TORQUE,AP&M.AHU0-LVFD.TORQUE,biiiobiiiobiiiiiiiiii,"[(0, 4), (5, 9), (10, 21)]"
AP&M.RM-3302H.CMAX-STPT,AP&M.RM-0000H.CMAX-STPT,biiiobiiiiiiiobiiiiiiii,"[(0, 4), (5, 13), (14, 23)]"
AP&M.RM-3302B.CMAX-STPT,AP&M.RM-0000B.CMAX-STPT,biiiobiiiiiiiobiiiiiiii,"[(0, 4), (5, 13), (14, 23)]"
AP&M.7FLE-HALL.ZN-T,AP&M.0FLE-HALL.ZN-T,biiiobiiiiiiiiobiii,"[(0, 4), (5, 14), (15, 19)]"
AP&M.RM-3731A.OHTG-STPT,AP&M.RM-0000A.OHTG-STPT,biiiobiiiiiiiobiiiiiiii,"[(0, 4), (5, 13), (14, 23)]"
AP&M.RM-B402.OHMIN-STPT,AP&M.RM-B000.OHMIN-STPT,biiiobiiiiiiobiiiiiiiii,"[(0, 4), (5, 12), (13, 23)]"
AP&M.RM-5715.SUP-FLOW,AP&M.RM-0000.SUP-FLOW,biiiobiiiiiiobiiiiiii,"[(0, 4), (5, 12), (13, 21)]"
AP&M.RM-3331A.CMAX-STPT,AP&M.RM-0000A.CMAX-STPT,biiiobiiiiiiiobiiiiiiii,"[(0, 4), (5, 13), (14, 23)]"
AP&M.HX-1.HX1-DB,AP&M.HX-0.HX0-DB,biiiobiiiobiiiii,"[(0, 4), (5, 9), (10, 16)]"
AP&M.RM-3302H.SUP-FLOW,AP&M.RM-0000H.SUP-FLOW,biiiobiiiiiiiobiiiiiii,"[(0, 4), (5, 13), (14, 22)]"
AP&M.RM-4711.HTG-VLV,AP&M.RM-0000.HTG-VLV,biiiobiiiiiiobiiiiii,"[(0, 4), (5, 12), (13, 20)]"
AP&M.AHU-3.SATHTG-IT,AP&M.AHU-0.SATHTG-IT,biiiobiiiiobiiiiiiii,"[(0, 4), (5, 10), (11, 20)]"
AP&M.RM-4731.DPR-C,AP&M.RM-0000.DPR-C,biiiobiiiiiiobiiii,"[(0, 4), (5, 12), (13, 18)]"
AP&M.RM-2432A.HTG-VLV,AP&M.RM-0000A.HTG-VLV,biiiobiiiiiiiobiiiiii,"[(0, 4), (5, 13), (14, 21)]"
AP&M.RM-4442.ACLG-STPT,AP&M.RM-0000.ACLG-STPT,biiiobiiiiiiobiiiiiiii,"[(0, 4), (5, 12), (13, 22)]"
AP&M.RM-3240.ACLG-STPT,AP&M.RM-0000.ACLG-STPT,biiiobiiiiiiobiiiiiiii,"[(0, 4), (5, 12), (13, 22)]"
AP&M.RM-2856.ACLG-STPT,AP&M.RM-0000.ACLG-STPT,biiiobiiiiiiobiiiiiiii,"[(0, 4), (5, 12), (13, 22)]"
AP&M.RM-4452.OCMIN-STPT,AP&M.RM-0000.OCMIN-STPT,biiiobiiiiiiobiiiiiiiii,"[(0, 4), (5, 12), (13, 23)]"
AP&M.RM-1412.ACLG-STPT,AP&M.RM-0000.ACLG-STPT,biiiobiiiiiiobiiiiiiii,"[(0, 4), (5, 12), (13, 22)]"
FWDREV-ST,FWDREV-ST,biiiiiiii,"[(0, 9)]"
AP&M.RM-5755.HTG-VLV,AP&M.RM-0000.HTG-VLV,biiiobiiiiiiobiiiiii,"[(0, 4), (5, 12), (13, 20)]"
AP&M.RM-B337B.OCMIN-STPT,AP&M.RM-B000B.OCMIN-STPT,biiiobiiiiiiiobiiiiiiiii,"[(0, 4), (5, 13), (14, 24)]"
