nameOri,nameNon,labelOri,labelSeg
EBU3B.RM-1200C..ZN-T,EBU0B.RM-0000C..ZN-T,biiiiobiiiiiiioobiii,"[(0, 5), (6, 14), (16, 20)]"
EBU3B.RM-4262..HTGFLOW,EBU0B.RM-0000..HTGFLOW,biiiiobiiiiiioobiiiiii,"[(0, 5), (6, 13), (15, 22)]"
EBU3B.CRAC-3.%CAPACTY,EBU0B.CRAC-0.%CAPACTY,biiiiobiiiiiobiiiiiii,"[(0, 5), (6, 12), (13, 21)]"
EBU3B.RM-4140..DMPR-POS,EBU0B.RM-0000..DMPR-POS,biiiiobiiiiiioobiiiiiii,"[(0, 5), (6, 13), (15, 23)]"
EBU3B.RM-4256..ZN-T,EBU0B.RM-0000..ZN-T,biiiiobiiiiiioobiii,"[(0, 5), (6, 13), (15, 19)]"
EBU3B.RM-4146..ACTHTGSP,EBU0B.RM-0000..ACTHTGSP,biiiiobiiiiiioobiiiiiii,"[(0, 5), (6, 13), (15, 23)]"
EBU3B.RM-3134..DMPR-POS,EBU0B.RM-0000..DMPR-POS,biiiiobiiiiiioobiiiiiii,"[(0, 5), (6, 13), (15, 23)]"
EBU3B.RM-1231..CLGMAXFLO,EBU0B.RM-0000..CLGMAXFLO,biiiiobiiiiiioobiiiiiiii,"[(0, 5), (6, 13), (15, 24)]"
EBU3B.RM-2203..HTGFLOW,EBU0B.RM-0000..HTGFLOW,biiiiobiiiiiioobiiiiii,"[(0, 5), (6, 13), (15, 22)]"
EBU3B.RM-3254..W-C-ADJ,EBU0B.RM-0000..W-C-ADJ,biiiiobiiiiiioobiiiiii,"[(0, 5), (6, 13), (15, 22)]"
EBU3B.RM-3215..CLGMINFLO,EBU0B.RM-0000..CLGMINFLO,biiiiobiiiiiioobiiiiiiii,"[(0, 5), (6, 13), (15, 24)]"
EBU3B.RM-2258.ACTHTGSP,EBU0B.RM-0000.ACTHTGSP,biiiiobiiiiiiobiiiiiii,"[(0, 5), (6, 13), (14, 22)]"
