nameOri,nameNon,labelOri,labelSeg
U10_CLG_VLV,U00_CLG_VLV,biiobiiiiii,"[(0, 3), (4, 11)]"
U10_DAT,U00_DAT,biiobii,"[(0, 3), (4, 7)]"
U10_FAN_SPD,U00_FAN_SPD,biiobiiiiii,"[(0, 3), (4, 11)]"
U10_FCU_FAULT,U00_FCU_FAULT,biiobiiiiiiii,"[(0, 3), (4, 13)]"
U10_HTG_VLV,U00_HTG_VLV,biiobiiiiii,"[(0, 3), (4, 11)]"
U10_RAT,U00_RAT,biiobii,"[(0, 3), (4, 7)]"
U10_TEMP_SPT,U00_TEMP_SPT,biiobiiiiiii,"[(0, 3), (4, 12)]"
U11_CLG_VLV,U00_CLG_VLV,biiobiiiiii,"[(0, 3), (4, 11)]"
U11_DAT,U00_DAT,biiobii,"[(0, 3), (4, 7)]"
U11_FAN_SPD,U00_FAN_SPD,biiobiiiiii,"[(0, 3), (4, 11)]"
U11_FCU_FAULT,U00_FCU_FAULT,biiobiiiiiiii,"[(0, 3), (4, 13)]"
U11_HTG_VLV,U00_HTG_VLV,biiobiiiiii,"[(0, 3), (4, 11)]"
U11_RAT,U00_RAT,biiobii,"[(0, 3), (4, 7)]"
U11_TEMP_SPT,U00_TEMP_SPT,biiobiiiiiii,"[(0, 3), (4, 12)]"
U12_CLG_VLV,U00_CLG_VLV,biiobiiiiii,"[(0, 3), (4, 11)]"
U12_DAT,U00_DAT,biiobii,"[(0, 3), (4, 7)]"
U12_FAN_SPD,U00_FAN_SPD,biiobiiiiii,"[(0, 3), (4, 11)]"
U12_FCU_FAULT,U00_FCU_FAULT,biiobiiiiiiii,"[(0, 3), (4, 13)]"
U12_HTG_VLV,U00_HTG_VLV,biiobiiiiii,"[(0, 3), (4, 11)]"
U12_RAT,U00_RAT,biiobii,"[(0, 3), (4, 7)]"
U12_TEMP_SPT,U00_TEMP_SPT,biiobiiiiiii,"[(0, 3), (4, 12)]"
U13_CLG_VLV,U00_CLG_VLV,biiobiiiiii,"[(0, 3), (4, 11)]"
U13_DAT,U00_DAT,biiobii,"[(0, 3), (4, 7)]"
U13_FAN_SPD,U00_FAN_SPD,biiobiiiiii,"[(0, 3), (4, 11)]"
U13_FCU_FAULT,U00_FCU_FAULT,biiobiiiiiiii,"[(0, 3), (4, 13)]"
U13_HTG_VLV,U00_HTG_VLV,biiobiiiiii,"[(0, 3), (4, 11)]"
U13_RAT,U00_RAT,biiobii,"[(0, 3), (4, 7)]"
U13_TEMP_SPT,U00_TEMP_SPT,biiobiiiiiii,"[(0, 3), (4, 12)]"
U14_CLG_VLV,U00_CLG_VLV,biiobiiiiii,"[(0, 3), (4, 11)]"
U14_DAT,U00_DAT,biiobii,"[(0, 3), (4, 7)]"
U14_FAN_SPD,U00_FAN_SPD,biiobiiiiii,"[(0, 3), (4, 11)]"
