nameOri,nameNon,labelOri,labelSeg
SDH.S1-17:CTL FLOW MIN:PRIORITY,SDH.S0-00:CTL FLOW MIN:PRIORITY,biiobiiiiobiiiiiiiiiiiobiiiiiii,"[(0, 3), (4, 9), (10, 22), (23, 31)]"
SDH.AH2A_MIN.OAD,SDH.AH0A_MIN.OAD,biiobiiiobiiiiii,"[(0, 3), (4, 8), (9, 16)]"
SDH.S2-11:CTL FLOW MAX,SDH.S0-00:CTL FLOW MAX,biiobiiiiobiiiiiiiiiii,"[(0, 3), (4, 9), (10, 22)]"
SDH.S4-17:ROOM TEMP,SDH.S0-00:ROOM TEMP,biiobiiiiobiiiiiiii,"[(0, 3), (4, 9), (10, 19)]"
SDH.S1-20:CTL STPT,SDH.S0-00:CTL STPT,biiobiiiiobiiiiiii,"[(0, 3), (4, 9), (10, 18)]"
SDH.S5-03:CTL FLOW MIN,SDH.S0-00:CTL FLOW MIN,biiobiiiiobiiiiiiiiiii,"[(0, 3), (4, 9), (10, 22)]"
SDH.S5-16:CTL FLOW MIN,SDH.S0-00:CTL FLOW MIN,biiobiiiiobiiiiiiiiiii,"[(0, 3), (4, 9), (10, 22)]"
SDH.S3-05:AIR VOLUME,SDH.S0-00:AIR VOLUME,biiobiiiiobiiiiiiiii,"[(0, 3), (4, 9), (10, 20)]"
SDH.S5-07:VLV POS,SDH.S0-00:VLV POS,biiobiiiiobiiiiii,"[(0, 3), (4, 9), (10, 17)]"
SDH.S6-10:CTL FLOW MIN,SDH.S0-00:CTL FLOW MIN,biiobiiiiobiiiiiiiiiii,"[(0, 3), (4, 9), (10, 22)]"
SDH.S6-17:CTL FLOW MIN,SDH.S0-00:CTL FLOW MIN,biiobiiiiobiiiiiiiiiii,"[(0, 3), (4, 9), (10, 22)]"
SDH.S6-13:CTL STPT,SDH.S0-00:CTL STPT,biiobiiiiobiiiiiii,"[(0, 3), (4, 9), (10, 18)]"
SDH.AH1_RHC-8:ROOM TEMP,SDH.AH0_RHC-0:ROOM TEMP,biiobiiobiiiiobiiiiiiii,"[(0, 3), (4, 7), (8, 13), (14, 23)]"
SDH.S5-20:CTL FLOW MIN,SDH.S0-00:CTL FLOW MIN,biiobiiiiobiiiiiiiiiii,"[(0, 3), (4, 9), (10, 22)]"
SDH.S7-15:VLV POS,SDH.S0-00:VLV POS,biiobiiiiobiiiiii,"[(0, 3), (4, 9), (10, 17)]"
SDH.S4-13:HEAT.COOL:PRIORITY,SDH.S0-00:HEAT.COOL:PRIORITY,biiobiiiiobiiiiiiiiobiiiiiii,"[(0, 3), (4, 9), (10, 19), (20, 28)]"
SDH.S1-18:HTG LOOPOUT,SDH.S0-00:HTG LOOPOUT,biiobiiiiobiiiiiiiiii,"[(0, 3), (4, 9), (10, 21)]"
SDH.S3-15:CTL FLOW MIN,SDH.S0-00:CTL FLOW MIN,biiobiiiiobiiiiiiiiiii,"[(0, 3), (4, 9), (10, 22)]"
SDH.S1-08:CTL FLOW MAX:PRIORITY,SDH.S0-00:CTL FLOW MAX:PRIORITY,biiobiiiiobiiiiiiiiiiiobiiiiiii,"[(0, 3), (4, 9), (10, 22), (23, 31)]"
